run_id,variety,change_id,mode,check_class,change_time,action,boundary_before,boundary_after,sensitivity,accuracy,reason,notes_changes
T152,gala,1,stem_crack1,juice,09:07,a,25,50,,,dirt_stem,noticed from juice drops
T152,gala,2,holes_ir,juice,09:11,c,25,25,,,,
T152,gala,3,holes_ir,class2,09:18,a,0,10,,,,"no winddamage hence drop the value, higher accuracy"
T152,gala,4,holes_ir2,juice,09:22,c,50,50,,,,"50%, might see on the stem"
T152,gala,5,stem_decay_ir,juice,09:39,a,50,0,,,,"detecting leaves, moved to after leaves"
T152,gala,6,stem_decay_ir,juice_front,09:42,a,0,50,,,crack_stem,
T152,gala,7,decay_ir,juice_front,09:56,a,100,200,,,leaf,
T152,gala,8,bruises_rgb,class2,10:32,a,150,200,,,,"Recorded leaves samples showing, ColorRGB pick up low color parts"
T152,gala,9,bruises_rgb,juice,10:46,a,300,0,,,,
T152,gala,10,sunburn_lbd,class2,11:06,a,90,30,,,,
T152,gala,11,winddamage_ir,juice,11:26,c,30,30,,,"russets,puncturess,spots,cuts",
T152,gala,12,winddamage_ir,class2,11:34,a,0,15,,,,
T152,gala,13,holes_ir,class2,11:37,c,10,10,,,,recheck after several setups
T153,gala,1,holes_ir,class2,14:11,c,10,10,,,,
T153,gala,2,stem_crack1,juice,14:16,c,100,100,,,,dirty stem
T153,gala,3,holes_ir,juice,14:20,c,25,25,,,,
T153,gala,4,sunburn_lbd,class2,14:29,c,30,30,,,,
T153,gala,5,holes_ir,class1,14:32,a,25,5,,,,
T153,gala,6,bruises_ir,class2_front,14:42,a,60,40,,,insect,
T153,gala,7,red_scale_rgb,class2,14:45,c,80,80,,,,
T153,gala,8,red_scale_rgb,class1,14:46,c,40,40,,,,
T153,gala,9,bruises_ir2,class1,14:54,a,100,120,,,"insect,scab",
T153,gala,10,bruises_ir2,class2,15:05,a,250,280,,,,
T153,gala,11,bruises_ir2,class1,15:07,c,120,120,,,,
T153,gala,12,bruises_ir,class1,15:17,a,40,10,,,sunburn_light,good for premium
T153,gala,13,winddamage_ir,class1,15:30,a,0,1,,,,
T153,gala,14,c2defects_ir,class1,15:52,a,0,10,,,"winddamage_minor,marks_skin",
T154,gala,1,bruises_ir,class1,07:51,c,10,10,,,"russets,puncturess,sunburn",recorded clean samples leading
T155,gala,1,stem_crack1,juice,11:41,c,100,100,,,,
T155,gala,2,holes_ir2,juice,11:43,a,50,70,,,,
T155,gala,3,holes_ir,juice,11:45,a,25,35,,,marks_skin,
T155,gala,4,holes_ir,class2,11:47,c,10,10,,,,
T155,gala,5,sunburn_lbd,class2,11:54,c,30,30,,,,
T155,gala,6,sunburn_lbd,juice,11:57,a,800,600,,,sunburn,
T155,gala,7,holes_ir,class1,12:00,a,5,10,,,,
T155,gala,8,holes_ir,class2,12:02,a,10,15,,,,
T155,gala,9,holes_ir2,juice,12:09,c,70,70,,,,half clean fruit but less activation
T155,gala,10,decay_ir,juice,12:10,c,0,0,,,leaf,
T155,gala,11,decay_ir,juice_front,12:18,a,200,50,,,"sunburn_major,decay",
T155,gala,12,c2defects_ir2,class1,12:24,c,65,65,,,"marks_skin,puncturess",
T156,modi,1,holes_ir,juice,03:10,a,5,10,,,"puncturess,marks_skin",
T156,modi,2,holes_ir2,juice,15:13,a,1,50,,,,
T156,modi,3,stem_crack1,juice,15:16,a,20,0,,,dirt_stem,
T156,modi,4,red_scale_rgb,juice,15:20,a,25,60,,,,
