variety,date_submit,date_complete,reference_dec,defects2,defects3,defects4,defects5,defects6,defects7,defects8,defects9,defects10,defects11,defects12,defects13,defects14,decfile_ver,decfile_type,NOTES
kanzi,2023-10-06,2024-03-06,1175,decay_stem,shrivel,crack_stem,russets_stem,,,,,,,,,,C003,KanziPLAU_PerformanceGoodLot,
granny_smith,2023-08-12,26/01/2024,1237,bruises,sunburn,russets_stem,marks_skin,,,,,,,,,,"A001,L001",GrannyPLAU_PerformanceLHDM,
packham ,2024-02-22,27.02.2024,1420,winddamage,russets,holes,decay,,,,,,,,,,E005,PearPLAU_Performance,
gala,2024-02-24,2024-03-14,1425,russets_stem,scab,-,-,,,,,,,,,,K001,BlushPLAU_PerformSundown,
yellow_nectarine,2024-02-27,15.03.2024,1431,bruises,holes,marks_skin,,,,,,,,,,,D004,PeachPLAU_PerformanceStart,
kanzi,2024-03-27,2024-04-10,1558,lenticel,san_jose,crack_stem,russets_stem,scab,,,,,,,,,E003,KanziPLAU_PerformanceGoodLot,
gala,2024-03-28,2024-03-28,1564,crack_stem,russets_stem,decay,leaf,,,,,,,,,,K005,BlushPLAU_PerformSundown,
pink_lady,2024-02-04,2024-04-29,1578,shrivel,bruises_minor,bruises_major,san_jose,scab,,,,,,,,,F003,PinkLadyPLAU_PerformanceGoodLot,
packham ,2024-03-04,13/05/2024,1581,marks_skin,holes ,cuts,,,,,,,,,,,E006,PearPLAU_Performance,
gala,2024-05-04,2024-05-14,1591,crack_stem,crack_stem,,,,,,,,,,,,K009,BlushPLAU_PerformSundown,
rockit,2024-04-06,17.04.2024,1594,crack_stem,sunburn,russets_stem,,,,,,,,,,,"K006,K007",BlushPLAU_PerformSundown,
kanzi,2024-04-12,2024-04-19,1615,green,scab,bruises,stem_average,c2defects,san_jose,,,,,,,,G004,KanziPLAU_PerformanceGoodLot,
rico,2024-04-17,30/05/2024,1624,holes,scab,,,,,,,,,,,,G001,PearPLAU_Performance,
granny_smith,2024-04-18,2024-03-05,1626,bruises,,,,,,,,,,,,,L002,GrannyPLAU_Performance1,
granny_smith,2024-06-05,2024-06-05,1679,hails,,,,,,,,,,,,,M001,GrannyPLAU_Performance1,
kanzi,2024-05-09,2024-06-07,1690,russets_stem,san_jose,scab,spots,,,,,,,,,,G007,KanziPLAU_PerformanceGoodLot,
