run_date,run_id,downtime_start,downtime_end,duration_hours,downtime_area,downtime_reason
2026-03-10,T089,07:19,07:58,0.65,settings,Defile missing pcf file on Kanzi
2026-03-10,T089,09:15,09:25,0.17,camera,Cameron investigate the no measurement on lane 5 and 6
2026-03-16,T096,07:00,07:25,0.42,"camera,forklift",Lane 5 and 6 reading without fruits; Mark overslept
2026-03-16,T096,11:30,11:43,0.22,server,Restart
2026-03-17,T098,07:00,07:13,0.22,dumper_area,Dirty on the sensor
2026-03-18,T100,07:00,07:18,0.3,settings,Some modification on the list
2026-03-24,T101,07:00,08:45,1.75,machine_main,electrical wiring problem
2026-03-30,T120,01:25,02:00,0.58,sorting_area,Tipped wrong variety of fruit
2026-04-08,T133,08:21,09:33,1.2,sfu1,pusher bend and not working
2026-04-15,T148,09:18,09:35,0.28,wrong_grower,Andrew hasn't updated the right grower
2026-04-15,T150,14:30,14:49,0.32,bin_drop,Mark accidentally dropped 4 bins of ACN
2026-04-17,T154,07:00,07:23,0.38,sorting_area,Strange sound; Blue ask for continue running while waiting on his arrival
2026-04-17,T154,07:53,10:28,2.58,dumper_area,"power cut out, a light flashed / Blue and Cameron changed some cabel?"
2026-04-20,T157,10:03,10:59,0.93,ibin_filler,sensor under bin
2026-04-20,T158,11:41,11:45,0.07,settings,"Soo forgot to close MCUap, cleaning out 1 lane"
2026-04-27,T168,07:00,07:15,0.25,settings,Filling up water and waiting on bins
2026-04-28,T170,07:00,07:28,0.47,sfu1,lost water due to pump popped out
2026-04-28,T170,14:51,15:05,0.23,plan_change,"Andrew added some more bins, we waiting on Mark to bring out"
2026-04-29,T171,08:15,08:40,0.42,ibin_infeed,sensor and swivel error
2026-04-29,T172,11:07,11:18,0.18,settings,new program adjustment
2026-04-29,T172,12:30,12:43,0.22,sfu1,"fruits not enter completely, Blue think might be the sensor problem"
2026-05-04,T174,09:46,09:54,0.13,dumper_area,bin came off conveyor chain
2026-05-06,T180,09:00,09:14,0.23,driving_labelel,"sticker stuck inside, need to remove and clean hence canal full"
2026-05-11,T182,07:00,07:22,0.37,settings,program and bins
2026-05-14,T192,08:06,08:10,0.07,diabolos,one side missing
2026-05-14,T192,09:55,10:12,0.28,tours,"from melbourne leadership course, waiting to smoko"
2026-05-16,T194,07:00,07:17,0.28,settings,"waiting on Andrew put on the list, we eventually use the previous one that we found"
2026-05-20,T196,08:00,09:18,1.3,bin_matic,power box crushed? Cover fell of and crushed when the fork turned
2026-05-21,T202,09:41,09:50,0.15,ifa,Blue checking on lane 1 ifa as no readings
2026-05-21,T207,09:41,09:45,0.07,ifa,Blue replaced a new cable
2026-05-21,T207,11:13,11:20,0.12,flumes_full,bin stuck at SFU hence flumes full
2026-05-28,T211,09:19,09:37,0.3,"ibin_dumper,diabolo","bin overfill, diabolo fallen"
2026-05-28,T212,11:50,13:36,1.77,bin_arrival,bin arriving from Ardrossan
2026-05-29,T214,07:10,07:22,0.2,bin_broken,"from the bottom, half clean the rest clean when finish"
2026-05-29,T214,08:49,08:59,0.17,toilet,no replacement on people so we stop the machine
2026-05-29,T214,11:08,11:13,0.08,diabolos,missing site lane 3
2026-06-01,T215,07:18,07:25,0.12,bin_broken,missing leg and fell into the tank
2026-06-03,T217,09:26,09:39,0.22,bin_arrival,"bins hiding behind in the coolroom, need time to clear the front bins"
2026-06-09,T220,07:00,07:27,0.45,ibin_infeed,not able to move upwards; we use the manual tipping site
2026-06-09,T221,11:49,12:23,0.57,settings,Waiting on update from Andrew
2026-06-11,T228,12:18,12:30,0.2,tours,waiting on Jess to bring people on tours
2026-06-15,T231,08:40,09:03,0.38,truck_unloading,Emma unloading the truck
2026-06-15,T231,10:00,10:29,0.48,server,power lost
2026-06-15,T231,10:55,11:17,0.37,server,set it back from the server; fruits ovefilled
2026-06-16,T234,09:02,09:13,0.18,toilet,
2026-06-16,T234,09:13,09:18,0.08,diabolos,
2026-06-17,T237,09:16,09:25,0.15,toilet,
2026-06-17,T240,09:00,09:14,0.23,toilet,
2026-06-17,T241,11:30,13:27,1.95,bin_arrival,"12 bins galas arrive from Ardrossan, helping at the swinger and replacing solenoid while waiting"
2026-06-22,T242,07:54,08:26,0.53,sfu2,not enough water
2026-06-22,T242,09:42,09:57,0.25,ibin_infeed,bin misallocated out the chain
2026-06-22,T242,10:58,11:05,0.12,diabolos,
2026-06-22,T242,11:42,11:49,0.12,ibin_infeed,emergency stop due to the misallocation of bin
