mode_order,variety,mode,clean_boundary,clean_amounts,leaf_boundary,leaf_amounts
1,pink_lady,holes_ir,,,,
2,pink_lady,stem_average_ir,,,,
3,pink_lady,major_ir,,,,
4,pink_lady,calyx_major_ir,,,,
5,pink_lady,limrubs_ir,,,,
6,pink_lady,hail_ir,,,,
7,pink_lady,insect_ir,,,,
8,pink_lady,calyx_minor_ir,,,,
9,pink_lady,injury_ir,,,,
10,pink_lady,holes_rgb,,,,
11,pink_lady,decay_rgb,,,,
12,pink_lady,bruises_rgb,,,,
13,pink_lady,stem_decay_rgb,,,,
14,pink_lady,c2defects_rgb,,,,
15,pink_lady,san_jose_rgb,,,,
16,pink_lady,dirt_rgb,,,,
17,pink_lady,russeting_lbd,,,,
18,pink_lady,russeting_stem_lbd,,,,
19,pink_lady,sunburn_lbd,,,,
20,pink_lady,skin_marks_lbd,,,,
21,pink_lady,decay_lbd,,,,
22,pink_lady,russeting_net_lbd,,,,
23,pink_lady,chemical_burns_lbd,,,,
24,pink_lady,sunburn_major_lbd,,,,
25,pink_lady,bruises_ir2,,,,
26,pink_lady,russeting_ir2,,,,
27,pink_lady,c2defects_ir2,,,,
28,pink_lady,russeting_stem_ir2,,,,
29,pink_lady,shrivel_ir2,,,,
30,pink_lady,hail_ir2,,,,
31,pink_lady,scab_ir2,,,,
32,pink_lady,stem_puncture_ir2,,,,
33,pink_lady,stem_crack_ir2,,,,
34,pink_lady,leaf,,,,
35,pink_lady,sunburn,,,,
1,kanzi,holes_ir,,,,
2,kanzi,major_ir,,,,
3,kanzi,calyx_major_ir,,,,
4,kanzi,limrubs_ir,,,,
5,kanzi,stem_decay_ir,,,,
6,kanzi,decay_ir,,,,
7,kanzi,scab_ir2,,,,
8,kanzi,bruises_ir,,,,
9,kanzi,hail_ir,,,,
10,kanzi,insect_ir,,,,
11,kanzi,stem_average_ir,,,,
12,kanzi,holes_rgb,,,,
13,kanzi,decay_rgb,,,,
14,kanzi,bruises_rgb,,,,
15,kanzi,stem_decay_rgb,,,,
16,kanzi,c2defects_rgb,,,,
17,kanzi,lenticel_rgb,,,,
18,kanzi,san_jose_rgb,,,,
19,kanzi,green_rgb,,,,
20,kanzi,browning_rgb,,,,
21,kanzi,hail_rgb,,,,
22,kanzi,russeting_lbd,,,,
23,kanzi,russeting_stem_lbd,,,,
24,kanzi,sunburn_lbd,,,,
25,kanzi,skin_marks_lbd,,,,
26,kanzi,decay_lbd,,,,
27,kanzi,spots_lbd,,,,
28,kanzi,bruises_ir2,,,,
29,kanzi,russeting_ir2,,,,
30,kanzi,c2defects_ir2,,,,
31,kanzi,russeting_stem_ir2,,,,
32,kanzi,shrivel_ir2,,,,
33,kanzi,scab_ir2,,,,
34,kanzi,stem_crack1,,,,
35,kanzi,stem_crack2,,,,
36,kanzi,stem_crack3,,,,
37,kanzi,stem_crack4_holes,,,,
38,kanzi,leaf,,,,
1,gala,decay_ir,,none,678,medium
2,gala,holes_ir,,,,
3,gala,c2defects_ir,4,medium,8,low
4,gala,stem_average_ir,,none,,none
5,gala,major_ir,,none,,none
6,gala,stem_decay_ir,,none,,none
7,gala,bruises_ir,,,,
8,gala,winddamage_ir,,none,,none
9,gala,holes_rgb,,none,,none
10,gala,decay_rgb,,none,1237,medium
11,gala,bruises_rgb,,,,
12,gala,stem_decay_rgb,,none,1479,high
13,gala,c2defects_rgb,,none,,none
14,gala,skin_marks_rgb,,,,
15,gala,red_scale_rgb,,,,
16,gala,punctures_rgb,,none,,none
17,gala,cuts_rgb,,none,,none
18,gala,russeting_lbd,,,170,low
19,gala,russeting_stem_lbd,103,medium,509,medium
20,gala,decay_lbd,,none,474,medium
21,gala,sunburn_lbd,,none,,none
22,gala,insect_lbd,,none,524,low
23,gala,scab_lbd,,none,,none
24,gala,browning_lbd,,none,,none
25,gala,bruises_ir2,35,top,96,medium
26,gala,russeting_ir2,,none,,none
27,gala,c2defects_ir2,14,high,94,medium
28,gala,russeting_stem_ir2,,none,,none
29,gala,decay_ir2,,none,1072,low
30,gala,holes_ir2,,none,,none
31,gala,chemical_burns_ir2,,none,1085,high
32,gala,stem_crack1,,none,79,low
33,gala,stem_crack2,13,low,,
34,gala,stem_crack3,,none,,none
35,gala,stem_crack4_holes,,none,,none
36,gala,leaf,,,334,top
37,granny_smith,decay_ir,,,,
38,granny_smith,holes_ir,,,,
39,granny_smith,skin_marks_ir,,,,
40,granny_smith,scald_ir,,,,
41,granny_smith,bitterpit_ir,,,,
42,granny_smith,little_spots_ir,,,,
43,granny_smith,russeting_stem_ir,,,,
44,granny_smith,stem_decay_ir,,,,
45,granny_smith,sunburn_ir,,,,
46,granny_smith,insect_ir,,,,
47,granny_smith,scab_ir,,,,
48,granny_smith,dirt_ir,,,,
49,granny_smith,skin_marks_rgb,,,,
50,granny_smith,russeting_rgb,,,,
51,granny_smith,decay_rgb,,,,
52,granny_smith,c2defects_rgb,,,,
53,granny_smith,sunburn_rgb,,,,
54,granny_smith,bruises_rgb,,,,
55,granny_smith,calyx_major_rgb,,,,
56,granny_smith,skin_marks_green,,,,
57,granny_smith,russeting_green,,,,
58,granny_smith,russeting_stem_green,,,,
59,granny_smith,bruises_green,,,,
60,granny_smith,sunburn_green,,,,
61,granny_smith,decay_green,,,,
62,granny_smith,stem_decay_green,,,,
63,granny_smith,san_jose_green,,,,
64,granny_smith,shrivel_green,,,,
65,granny_smith,browning_green,,,,
66,granny_smith,bruises_green2,,,,
67,granny_smith,bin_damage_green2,,,,
68,granny_smith,scald_green2,,,,
69,granny_smith,scab_green2,,,,
70,granny_smith,stem_decay_green2,,,,
71,granny_smith,russeting_stem_green2,,,,
72,granny_smith,skin_marks_green2,,,,
73,granny_smith,little_spots_green2,,,,
