run_date,run_id,operator_machine,operator_quality,start_time,end_time,grower,variety,batch_id,receival_date_min,receival_date_max,bins_run,retip,premium_rate,c1_color_rate,c1_quality_rate,c2_color_rate,c2_quality_rate,no_color_rate,juice_rate,test_drop_count,test_drop_kg,size_distribution,Speed_12,Speed_34,Speed_56,full_speed,notes_run
2023-11-28,R001,,,07:07,11:50,sciacca,pink_lady,,,,131,0,,,,,,,,,,,,,,,SFU1 filler's part fell; bin's bottom broke ( 8.40AM – 9.20AM )
2023-11-28,R002,,,13:10,16:00,ardrossan,pink_lady,,,,80,0,,,,,,,,,,,,,,,
2023-11-29,R003,,,06:50,13:45,jeftomson,pink_lady,,,,271,0,,,,,,,,,,,,,,,
2023-11-29,R004,,,14:45,19:30,bundara,granny_smith,,,,150,0,,,,,,,,,,,,,,,B-33 (126) & B-12 (24)
2023-12-04,R005,,,13:00,16:45,cricelli,granny_smith,,,,91,0,,,,,,,,,,,,,,,Server down until 1 PM
2023-12-05,R006,,,06:00,12:30,cricelli,granny_smith,,,,166,0,,,,,,,,,,,,,,,
2023-12-05,R007,,,13:00,15:21,bundara,pink_lady,,,,27,0,,,,,,,,,,,,,,,B-09; iFA has problem
2023-12-06,R008,,,06:58,15:30,bundara,pink_lady,,,,194,0,,,,,,,,,,,,,,,B-09 (41) & B-14 (153)
2023-12-07,R009,,,07:00,13:45,jeftomson,pink_lady,,,,200,0,,,,,,,,,,,,,,,iFA has problem
2023-12-07,R010,,,14:40,16:05,poomona,granny_smith,,,,47,0,,,,,,,,,,,,,,,
2023-12-08,R011,,,07:30,11:50,poomona,granny_smith,,,,157,0,,,,,,,,,,,,,,,Grading pusher stuck in the morning
2023-12-12,R012,,,06:56,12:48,bundara,granny_smith,,,,181,0,,,,,,,,,,,,,,,
2023-12-12,R013,,,13:35,15:35,jeftomson,pink_lady,,,,74,0,,,,,,,,,,,,,,,Bad quality value set
2023-12-13,R014,,,05:51,10:20,pottenger,pink_lady,,,,115,0,,,,,,,,,,,,,,,Fruit fell over to the back; brusher at the grading part fell off
2023-12-13,R015,,,10:20,13:42,duxton,pink_lady,,,,102,0,,,,,,,,,,,,,,,
2023-12-13,R016,,,13:42,16:30,punjab,pink_lady,,,,65,0,,,,,,,,,,,,,,,
2023-12-14,R017,,,07:00,11:10,bundara,pink_lady,,,,101,0,,,,,,,,,,,,,,,
2023-12-19,R018,,,07:00,17:20,jeftomson,pink_lady,,,,346,0,,,,,,,,,,,,,,,"Many problems happening, refer to daily report"
2023-12-20,R019,,,07:15,13:51,ardrossan,pink_lady,,,,142,0,,,,,,,,,,,,,,,Bin Matic down; iFA
2023-12-20,R020,,,14:40,16:50,poomona,granny_smith,,,,74,0,,,,,,,,,,,,,,,
2024-01-04,R021,,,09:00,14:45,bundara,granny_smith,,,,146,0,,,,,,,,,,,,,,,Issues: Cup's clips fell off; canals not able to unblock hence start late
2024-01-08,R022,,,08:00,15:00,sciacca,pink_lady,,,,132,0,,,,,,,,,,,,,,,Issues: SFU2 water level too low; dumper isn't working well 
2024-01-08,R023,,,15:00,15:15,jeftomson,pink_lady,,,,11,0,,,,,,,,,,,,,,,due to previous batch not finalising bin amount hence late start
2024-01-08,R024,,,15:20,16:40,punjab,pink_lady,,,,49,0,,,,,,,,,,,,,,,
2024-01-09,R025,,,06:54,09:00,punjab,pink_lady,,,,64,0,,,,,,,,,,,,,,,"iFA lane 1, lane 2 fruits dropping to the error canal"
2024-01-09,R026,,,09:00,16:45,bundara,pink_lady,,,,122,0,,,,,,,,,,,,,,,Browning problem 4 - 4.5
2024-01-10,R027,,,07:00,10:00,bundara,pink_lady,,,,44,0,,,,,,,,,,,,,,,Stop for 4 hours
2024-01-10,R028,,,14:30,16:50,bundara,granny_smith,,,,80,0,,,,,,,,,,,,,,,iFA down; change to GS
2024-01-11,R029,,,07:00,11:30,bundara,granny_smith,,,,118,0,,,,,,,,,,,,,,,iFA down
2024-01-11,R030,,,12:30,17:00,jeftomson,pink_lady,,,,110,0,,,,,,,,,,,,,,,"Wrong problem hence 40 bins need retip, no browning (no iFA)"
2024-01-12,R031,,,07:00,12:45,jeftomson,pink_lady,,,,113,0,,,,,,,,,,,,,,,"iFA worked in the morning, browning problem showing 3.5 – 4"
2024-01-12,R032,,,13:30,16:30,ardrossan,pink_lady,,,,84,0,,,,,,,,,,,,,,,Manual tipping:56; browning 6.5 – 7
2024-01-13,R033,,,06:18,09:30,ardrossan,pink_lady,,,,59,0,,,,,,,,,,,,,,,iFA back on
2024-01-13,R034,,,10:20,11:30,ardrossan,pink_lady,,,,56,0,,,,,,,,,,,,,,, 
2024-01-15,R035,,,07:00,16:37,bundara,granny_smith,,,,250,0,,,,,,,,,,,,,,,Driving Rack 1 needed reference couple times in the morning
2024-01-16,R036,,,06:50,08:55,bundara,granny_smith,,,,72,0,,,,,,,,,,,,,,,+3 bins retip; running smooth
